source,target,weight
134,62,7.008
135,18,5.894
135,63,6.577
135,90,9.965
136,82,8.202
136,10,8.212
136,19,8.898
137,65,2.705
137,110,8.145
137,92,7.813
138,66,6.636
138,21,11.074
138,47,12.943
139,67,7.889
139,54,14.620
139,99,12.335
140,23,8.841
140,68,9.604
140,100,14.177
141,24,3.652
141,114,7.717
141,96,8.497
142,25,8.587
142,52,11.954
142,97,12.430
143,44,4.954
143,116,6.748
143,17,8.005
144,127,7.284
144,55,8.847
144,72,13.639
145,118,3.083
145,28,5.612
145,1,6.079
146,29,1.862
146,129,5.140
146,101,5.808
147,75,5.568
147,30,7.451
147,102,13.269
148,103,5.409
148,31,6.051
148,142,8.510
149,77,9.005
149,32,11.160
149,59,12.301
150,78,5.988
150,105,8.116
150,123,9.079
151,79,5.760
151,106,8.355
151,7,7.615
152,80,8.046
152,35,13.947
152,98,14.929
153,18,5.658
153,90,6.436
153,0,8.138
154,109,2.070
154,10,3.493
154,19,3.946
155,2,4.134
155,20,4.356
155,11,4.353
156,111,3.787
156,21,4.420
156,74,7.446
157,4,3.318
157,85,3.878
157,22,5.214
158,131,3.243
158,14,5.327
158,5,6.522
159,114,2.129
159,42,6.194
159,15,6.447
160,43,1.868
160,115,3.478
160,70,5.958
161,89,2.909
161,35,3.103
161,26,3.532
162,0,3.885
162,117,4.882
162,27,5.869
163,91,2.262
163,1,3.589
163,82,5.309
164,155,1.959
164,20,4.120
164,11,4.559
165,21,4.410
165,3,6.256
165,84,6.701
166,49,7.018
166,22,8.681
166,94,9.216
167,113,3.511
167,23,3.910
167,86,5.007
168,6,3.088
168,96,3.859
168,51,5.611
169,97,3.502
169,88,4.370
169,34,3.932
170,125,2.697
170,8,4.825
170,53,5.164
171,99,4.183
171,54,4.944
171,81,5.414
172,127,6.416
172,55,6.451
172,144,6.845
173,119,3.678
173,20,4.475
173,11,5.185
174,57,3.102
174,39,8.597
174,12,8.008
175,94,4.349
175,4,4.601
175,13,5.293
176,59,2.201
176,104,4.425
176,14,6.192
177,150,6.917
177,105,7.200
177,33,11.509
178,61,3.727
178,34,6.258
178,106,6.549
179,89,6.093
179,35,5.683
179,161,7.268
180,18,2.977
180,135,4.806
180,63,5.054
181,19,1.899
181,154,3.410
181,10,3.201
182,164,3.953
182,155,5.225
182,83,5.095
183,21,4.236
183,165,5.131
183,156,4.872
184,67,6.693
184,112,6.925
184,40,7.704
185,68,1.843
185,23,7.101
185,113,8.990
186,114,3.739
186,159,4.966
186,141,7.032
187,160,5.793
187,43,5.555
187,70,6.611
188,143,3.705
188,44,8.020
188,71,7.908
189,27,2.577
189,117,3.483
189,162,5.901
190,118,3.433
190,145,5.381
190,46,8.177
191,66,2.273
191,138,5.171
191,183,6.585
192,75,2.940
192,30,3.512
192,147,6.692
193,121,4.885
193,76,7.198
193,49,8.228
194,32,6.216
194,77,6.600
194,95,6.625
195,123,3.894
195,51,3.734
195,168,6.474
196,106,1.509
196,7,1.662
196,52,6.126
197,80,8.951
197,98,10.096
197,125,9.774
198,126,1.911
198,9,6.905
198,81,6.845
199,37,1.604
199,72,4.777
199,45,4.671
200,73,4.462
200,38,5.388
200,110,10.042
201,129,2.648
201,39,3.747
201,12,4.136
202,112,4.388
202,85,7.361
202,40,7.962
203,76,2.547
203,121,5.203
203,131,8.705
204,87,3.724
204,42,3.622
204,60,5.258
205,16,3.668
205,88,7.015
205,34,7.299
206,134,4.369
206,116,7.024
206,107,7.813
207,135,2.232
207,180,5.558
207,18,6.722
208,136,6.755
208,82,8.738
208,91,8.642
209,2,2.717
209,92,2.841
209,155,3.895
210,48,9.288
210,165,11.431
210,93,10.743
211,49,3.948
211,193,6.787
211,166,7.925
212,140,6.348
212,128,8.938
212,50,14.156
213,96,3.584
213,6,4.987
213,24,4.981
214,25,2.360
214,52,2.417
214,7,7.884
215,8,3.196
215,170,3.471
215,125,4.911
216,144,5.236
216,172,10.778
216,127,12.712
217,28,4.340
217,100,4.149
217,145,6.173
218,129,5.747
218,29,6.813
218,201,7.222
219,30,6.658
219,102,7.296
219,147,7.421
220,31,2.439
220,103,2.757
220,148,6.364
221,149,4.097
221,77,10.344
221,194,14.873
222,177,6.182
222,150,8.918
222,105,12.372
223,79,5.268
223,178,6.884
223,196,7.298
224,152,4.320
224,80,6.134
224,179,9.062
225,81,3.955
225,9,5.232
225,171,7.105
226,10,2.715
226,109,2.465
226,154,2.985
227,182,3.357
227,164,3.597
227,155,3.529
228,111,4.990
228,84,5.106
228,12,6.320
229,94,1.397
229,4,2.816
229,175,4.159
230,104,2.125
230,86,3.608
230,5,4.434
231,114,3.452
231,159,4.550
231,186,6.156
232,88,3.015
232,169,4.001
232,97,5.284
233,116,2.666
233,44,3.249
233,143,5.997
234,162,3.723
234,27,4.229
234,189,4.881
235,118,4.145
235,190,3.811
235,145,4.455
236,2,3.514
236,209,4.074
236,92,3.927
237,30,3.514
237,192,3.585
237,75,4.532
238,94,3.360
238,229,3.391
238,4,4.422
239,167,1.686
239,23,3.020
239,113,3.802
240,231,3.195
240,33,5.820
240,114,6.101
241,196,3.033
241,106,3.257
241,7,3.097
242,35,1.872
242,161,2.960
242,98,3.855
243,99,1.687
243,54,2.009
243,171,4.942
244,199,2.086
244,37,2.121
244,72,3.551
245,38,2.565
245,73,4.152
245,83,4.755
246,12,4.315
246,57,4.246
246,39,4.330
247,157,1.792
247,4,3.206
247,22,3.724
248,5,3.532
248,158,4.474
248,14,4.153
249,204,2.387
249,87,4.699
249,42,4.696
250,88,3.877
250,115,5.003
250,232,6.085
251,107,1.797
251,62,3.660
251,134,4.023
252,180,1.963
252,18,3.526
252,135,4.846
253,109,3.227
253,226,3.287
253,37,3.474
254,227,2.261
254,182,4.351
254,155,4.515
255,165,5.034
255,210,7.016
255,183,6.683
256,166,2.845
256,22,5.939
256,238,7.437
257,185,3.977
257,68,5.047
257,113,6.382
258,240,3.589
258,231,3.844
258,24,4.412
259,25,4.386
259,214,4.319
259,52,5.467
260,188,4.727
260,8,5.367
260,215,6.941
261,127,4.856
261,45,5.723
261,189,7.437
262,91,2.571
262,163,3.356
262,1,4.061
263,11,4.188
263,20,4.667
263,2,5.335
264,102,3.243
264,30,4.225
264,219,5.529
265,103,6.299
265,31,5.489
265,193,8.049
266,77,3.914
266,194,3.917
266,149,7.068
267,150,3.438
267,78,4.685
267,123,8.716
268,7,1.695
268,106,1.768
268,196,2.303
269,98,1.336
269,35,3.767
269,242,4.346
270,36,4.942
270,108,5.203
270,9,5.521
271,127,2.616
271,244,2.786
271,199,3.818
272,190,3.640
272,118,3.701
272,145,5.864
273,29,3.932
273,101,4.374
273,146,5.714
274,202,6.539
274,58,6.559
274,85,8.107
275,121,4.889
275,131,4.274
275,76,4.737
276,159,3.652
276,42,3.630
276,114,5.105
277,250,2.594
277,16,4.994
277,88,5.377
278,206,4.499
278,233,5.947
278,44,5.414
279,90,6.802
279,117,7.589
279,0,7.348
280,235,4.530
280,46,4.060
280,190,4.236
281,263,4.406
281,66,6.847
281,74,6.136
282,120,4.130
282,48,4.611
282,93,4.585
283,49,5.730
283,211,8.474
283,166,10.621
284,50,6.303
284,95,6.604
284,212,7.021
285,6,2.803
285,168,3.997
285,96,3.916
286,259,4.633
286,214,4.023
286,25,4.668
287,125,2.092
287,53,3.240
287,170,4.327
288,54,6.112
288,243,6.537
288,99,6.140
289,217,2.546
289,28,2.697
289,100,4.633
290,128,2.408
290,56,6.622
290,83,10.930
291,219,4.438
291,264,5.526
291,102,5.178
292,31,3.373
292,220,3.218
292,103,4.132
293,59,5.042
293,176,5.512
293,14,9.646
294,177,1.953
294,222,5.850
294,105,6.086
295,178,2.476
295,61,4.525
295,223,5.425
296,179,5.160
296,152,5.585
296,224,5.974
297,162,2.917
297,234,4.621
297,0,5.521
298,163,1.091
298,91,2.290
298,262,2.952
299,245,2.985
299,83,3.013
299,38,4.200
300,21,3.797
300,228,4.206
300,156,4.541
301,40,2.992
301,247,4.762
301,112,4.960
302,113,2.304
302,167,3.380
302,86,3.902
303,240,2.918
303,258,2.860
303,231,4.764
304,232,3.362
304,187,4.121
304,160,5.114
305,233,2.463
305,116,3.051
305,44,3.528
306,189,2.678
306,117,3.011
306,27,3.747
307,82,2.654
307,91,2.874
307,163,3.400
308,83,3.595
308,56,3.767
308,299,4.953
309,84,2.525
309,3,3.821
309,228,4.518
310,193,2.376
310,211,6.072
310,121,6.929
311,95,2.706
311,284,6.107
311,50,5.472
312,51,4.477
312,285,5.185
312,123,4.652
313,214,2.471
313,52,3.222
313,25,3.749
314,260,3.297
314,8,3.784
314,26,6.142
315,171,2.460
315,81,4.607
315,99,5.370
316,19,1.858
316,181,1.817
316,82,2.910
317,308,3.155
317,20,3.856
317,83,3.929
318,228,3.083
318,300,3.224
318,111,3.484
319,22,2.437
319,4,2.990
319,94,3.747
320,14,2.269
320,59,5.060
320,248,4.977
321,204,3.284
321,87,3.333
321,42,3.912
322,250,1.623
322,277,3.514
322,88,3.925
323,116,2.990
323,17,3.877
323,62,4.026
324,153,3.923
324,90,4.802
324,0,5.050
325,82,2.246
325,307,2.635
325,91,3.634
326,209,1.691
326,2,2.160
326,236,3.597
327,165,1.738
327,255,4.581
327,21,4.818
328,22,2.167
328,319,2.206
328,4,4.025
329,23,2.915
329,239,5.252
329,167,5.634
330,258,2.810
330,24,2.743
330,303,4.655
331,286,4.496
331,259,6.156
331,142,5.164
332,188,1.908
332,260,3.552
332,143,4.068
333,243,5.568
333,54,7.067
333,99,6.405
334,100,4.322
334,289,4.743
334,28,5.411
335,101,4.439
335,56,5.267
335,273,5.625
336,84,2.810
336,3,3.059
336,309,3.006
337,103,2.939
337,148,3.639
337,31,4.238
338,266,3.819
338,194,5.679
338,149,5.596
339,123,1.769
339,51,3.277
339,78,3.695
340,79,3.447
340,151,4.637
340,223,4.700
341,224,2.444
341,152,5.217
341,296,5.615
342,270,2.316
342,9,4.232
342,36,5.131
343,45,2.663
343,261,4.905
343,199,5.594
344,200,4.556
344,272,6.656
344,73,5.697
345,111,4.007
345,156,3.584
345,74,4.400
346,301,3.016
346,112,3.616
346,202,4.931
347,158,3.604
347,131,3.652
347,248,5.844
348,77,2.004
348,266,4.411
348,338,7.587
349,160,1.853
349,43,2.791
349,115,3.443
350,44,3.018
350,278,4.770
350,233,5.292
351,279,2.543
351,117,5.587
351,0,5.964
352,46,3.189
352,280,6.044
352,208,7.428
353,66,7.167
353,47,6.522
353,138,6.619
354,210,4.292
354,282,5.675
354,255,6.915
355,211,2.623
355,49,3.839
355,166,5.344
356,50,3.548
356,311,4.528
356,122,5.075
357,285,2.878
357,312,3.078
357,6,4.788
358,124,3.510
358,313,8.556
358,286,9.927
359,197,3.052
359,287,7.618
359,125,9.679
360,315,4.995
360,126,5.194
360,81,6.966
361,55,4.229
361,334,6.009
361,100,6.556
362,128,5.413
362,212,5.028
362,290,6.405
363,219,5.583
363,291,6.436
363,174,9.097
364,292,6.653
364,220,6.822
364,31,7.946
365,320,3.407
365,14,4.483
365,158,4.459
366,222,7.022
366,294,7.336
366,177,8.632
367,205,6.174
367,16,6.679
367,133,7.514
368,179,6.277
368,251,6.015
368,296,7.333
369,234,3.851
369,171,4.937
369,297,5.112
370,307,1.822
370,82,2.971
370,316,2.872
371,164,2.659
371,155,3.170
371,182,3.580
372,300,2.038
372,21,3.368
372,228,3.766
373,256,3.452
373,166,4.274
373,328,5.461
374,113,4.100
374,302,4.472
374,5,5.026
375,231,1.997
375,114,2.941
375,159,2.928
376,97,3.839
376,169,3.867
376,34,3.903
377,323,2.164
377,116,3.308
377,107,4.212
378,234,2.775
378,369,4.013
378,27,3.989
379,289,1.892
379,28,2.558
379,217,3.249
380,119,2.196
380,173,3.686
380,101,4.871
381,93,1.686
381,120,4.443
381,282,4.875
382,229,2.479
382,94,2.410
382,175,3.716
383,32,3.931
383,176,4.910
383,230,4.772
384,15,1.688
384,33,3.638
384,105,5.378
385,376,2.639
385,97,4.212
385,169,4.915
386,269,1.786
386,98,1.938
386,35,3.141
387,225,1.742
387,81,4.007
387,9,4.500
388,271,2.296
388,244,3.061
388,72,2.981
389,73,2.026
389,38,3.555
389,200,3.889
390,246,3.496
390,12,3.760
390,39,3.839
391,130,2.497
391,13,2.482
391,85,3.911
392,86,1.785
392,230,3.187
392,104,3.358
393,42,1.862
393,321,3.988
393,204,3.550
394,277,1.915
394,250,2.172
394,322,2.851
395,26,3.319
395,314,3.596
395,17,3.615
396,153,4.220
396,18,4.143
396,180,4.727
397,262,3.929
397,91,4.356
397,325,5.747
398,371,1.272
398,164,2.437
398,155,3.291
399,354,2.639
399,210,4.185
399,255,4.802
400,238,4.812
400,256,5.120
400,211,4.937
401,329,2.280
401,23,3.712
401,239,5.911
402,141,2.859
402,330,3.630
402,24,3.659
403,268,2.895
403,7,2.929
403,106,3.754
404,260,2.508
404,332,2.890
404,188,4.213
405,369,2.178
405,171,4.957
405,234,5.207
406,28,3.124
406,217,3.516
406,289,3.548
407,173,3.566
407,317,3.579
407,308,3.672
408,264,1.526
408,102,3.067
408,30,3.274
409,265,4.855
409,310,5.215
409,238,5.472
410,338,5.587
410,383,5.507
410,293,6.328
411,105,3.406
411,15,4.696
411,384,5.506
412,223,4.093
412,295,4.755
412,178,7.656
413,179,1.931
413,35,4.832
413,296,5.056
414,342,5.788
414,387,5.578
414,225,5.510
415,117,3.931
415,189,4.035
415,343,4.811
416,110,3.887
416,272,5.638
416,73,6.595
417,281,3.454
417,74,4.254
417,263,5.255
418,202,2.121
418,112,3.758
418,346,4.223
419,41,4.475
419,257,8.046
419,185,6.806
420,348,5.326
420,77,4.409
420,266,7.850
421,304,2.401
421,349,3.510
421,187,3.444
422,278,3.143
422,233,3.455
422,350,3.535
423,279,3.300
423,351,4.269
423,64,6.397
424,280,2.022
424,46,3.845
424,235,5.381
425,281,3.525
425,66,3.632
425,417,4.544
426,120,2.670
426,282,4.673
426,48,4.834
427,193,3.036
427,310,4.600
427,121,4.256
428,194,1.922
428,356,4.997
428,266,4.455
429,195,2.770
429,51,5.583
429,123,6.336
430,124,4.603
430,358,5.564
430,151,6.976
431,359,4.463
431,287,5.175
431,197,5.821
432,360,4.135
432,126,6.283
432,198,7.141
433,261,2.680
433,127,4.768
433,343,4.906
434,362,6.488
434,212,8.032
434,140,7.009
435,57,6.526
435,174,6.933
435,141,7.395
436,58,5.358
436,13,6.361
436,130,7.393
437,320,7.636
437,293,6.699
437,365,7.821
438,60,4.931
438,411,5.803
438,249,5.749
439,16,1.939
439,205,2.912
439,394,3.950
440,206,5.283
440,134,7.571
440,278,8.212
441,135,1.201
441,207,2.304
441,252,5.073
442,136,4.269
442,10,5.323
442,82,6.711
443,92,4.103
443,137,5.599
443,65,6.263
444,165,1.390
444,327,2.337
444,21,3.523
445,373,4.022
445,166,6.122
445,256,5.260
446,329,2.810
446,23,2.629
446,239,3.603
447,69,5.656
447,402,7.849
447,141,6.859
448,148,5.810
448,337,6.986
448,220,7.737
449,404,2.350
449,332,3.000
449,260,4.315
450,117,2.324
450,0,2.804
450,306,3.556
451,406,2.556
451,28,3.298
451,1,3.841
452,101,1.689
452,119,3.092
452,380,3.958
453,336,3.311
453,3,4.270
453,381,5.130
454,409,4.092
454,310,4.444
454,400,4.671
455,14,2.680
455,320,3.617
455,5,3.831
456,105,1.643
456,411,2.853
456,384,4.652
457,61,2.399
457,178,3.472
457,34,3.680
458,179,3.862
458,413,4.609
458,107,4.099
459,153,2.904
459,414,4.916
459,18,4.850
460,388,2.467
460,72,3.071
460,271,4.286
461,182,3.357
461,227,3.196
461,254,3.682
462,318,2.661
462,228,3.011
462,12,4.280
463,157,2.078
463,247,2.675
463,4,2.390
464,374,3.898
464,113,4.382
464,257,4.896
465,159,3.387
465,276,4.358
465,15,4.128
466,277,2.988
466,16,2.984
466,394,3.781
467,323,2.498
467,377,2.265
467,62,3.020
468,450,2.802
468,117,2.746
468,351,3.563
469,424,3.722
469,280,3.738
469,397,3.727
470,209,1.125
470,326,1.551
470,2,2.735
471,453,2.461
471,381,3.690
471,3,3.743
472,166,2.477
472,373,3.703
472,256,3.659
473,446,2.092
473,329,3.285
473,23,3.403
474,96,1.796
474,6,2.248
474,168,2.827
475,52,2.032
475,313,2.062
475,214,2.094
476,98,1.734
476,269,2.079
476,386,2.107
477,99,3.098
477,54,3.043
477,243,3.524
478,72,5.301
478,460,5.386
478,334,6.212
479,119,1.820
479,380,2.245
479,173,2.705
480,174,2.329
480,57,4.221
480,246,5.719
481,58,4.283
481,13,4.510
481,436,4.817
482,437,3.896
482,293,4.131
482,59,4.791
483,294,3.602
483,177,3.536
483,105,4.784
484,178,2.954
484,295,2.939
484,457,4.618
485,35,2.879
485,386,2.659
485,269,3.243
486,252,4.117
486,180,3.900
486,18,4.570
487,64,4.674
487,442,5.394
487,136,8.420
488,182,1.506
488,227,2.733
488,461,3.233
489,183,2.668
489,165,4.731
489,444,5.293
490,184,3.545
490,40,5.548
490,445,5.268
491,257,4.425
491,419,4.592
491,185,5.061
492,276,3.057
492,42,5.298
492,393,5.625
493,421,3.489
493,187,3.762
493,160,3.442
494,350,9.761
494,71,9.497
494,143,8.388
495,27,4.338
495,333,4.592
495,378,4.683
496,469,1.712
496,397,3.869
496,424,4.136
497,74,2.231
497,345,4.512
497,146,5.130
498,75,3.286
498,237,3.967
498,192,4.304
499,121,1.350
499,76,4.007
499,427,4.492
203,221,29.398
382,295,45.559
478,238,45.728
224,15,47.765
463,367,47.549
238,464,23.019
67,316,43.031
105,264,36.270
4,495,31.094
338,497,35.455
7,22,41.232
417,316,38.279
384,410,30.037
243,361,25.267
203,343,36.876
55,316,16.306
473,348,17.502
261,434,35.918
397,121,45.981
36,355,45.873
147,105,34.668
401,146,29.072
202,133,38.506
238,421,30.004
320,109,38.749
292,410,38.109
120,231,35.759
401,144,27.588
260,59,37.807
248,79,48.504
27,135,17.942
0,94,46.843
23,357,44.503
353,447,38.932
370,41,37.197
180,64,21.866
156,285,37.495
216,211,19.014
482,337,22.056
246,282,23.237
2,69,30.027
356,437,20.299
475,338,42.956
149,134,33.891
390,317,26.409
104,317,42.476
184,1,50.473
338,377,32.125
68,465,36.098
99,289,27.999
29,411,40.879
257,271,24.065
417,344,24.404
206,15,46.060
488,428,37.189
258,111,29.576
149,331,32.729
390,145,39.249
199,76,46.568
32,355,36.932
236,335,16.696
478,495,17.653
392,265,27.444
182,102,36.987
317,453,27.217
172,473,26.536
145,362,19.710
353,344,34.437
73,465,43.453
67,207,35.263
264,380,23.887
137,464,47.165
216,229,27.708
222,240,21.637
426,195,36.294
490,261,28.231
311,6,28.073
453,177,45.895
123,116,45.556
385,427,36.492
6,417,40.881
178,188,37.416
317,23,33.742
424,257,36.155
